Rank,Name,Net Worth,Real Time Wealth,Age,State,Source of Wealth,Philanthropic Score,profile,url
212,Ben Chestnut,$5 ,$5 ,47,Georgia,email marketing,1,"Chestnut founded what later became Mailchimp with Dan Kurzius in 2001 as a side project to their web design company.
Mailchimp's email marketing software for small businesses garnered enough customers that in 2007 they committed to it full time.
Wary of giving up control to outside investors, Chestnut and Kurzius bootstrapped growth from profits and took no outside money.
Chestnut and Kurzius each own 50% of Mailchimp, which had $700 million in 2019 revenue.
He is CEO of the Atlanta-based company, which has nearly 1,000 employees and millions of customers.",https://www.forbes.com/profile/ben-chestnut/
212,Dan Kurzius,$5 ,$5 ,49,Georgia,email marketing,N/A,"Dan Kurzius founded what later became Mailchimp with Ben Chestnut in 2001 as a side project to their web design company.
Mailchimp's email marketing software for small businesses garnered enough customers that in 2007 they committed to it full time.
Wary of giving up control to outside investors, Kurzius and Chestnut bootstrapped growth from profits and took no outside money.
In September 2021, Intuit announced it would acquire Mailchimp in a $12 billion cash and stock acquisition.
At the time of announcement, Chestnut and Kurzius each owned 50% of the Atlanta-based company, which had $800 million in 2020 revenue.",https://www.forbes.com/profile/dan-kurzius/
212,Howard Schultz,$5 ,$4.90 ,68,Washington,Starbucks,2,"Howard Schultz took charge of Starbucks in the 1980s and turned a regional coffee company into one of the world's top brands.
Schultz expanded Starbucks from 11 stores to more than 30,000 worldwide and made it a social hub for many Americans.
In 2018, Schultz stepped down as executive chairman and board member of the company he joined in 1982. He is now chairman emeritus.
Schultz explored a 2020 presidential bid, but said in September 2019 that he would not run because it would risk the re-election of Donald Trump.
The Schultz Family Foundation invests in training and hiring veterans and youths with the goal of hiring 1 million young people by 2021.
Through his VC firm Maveron Capital, Schultz invests in other consumer businesses such as Groupon, Madison Reed, Allbirds and Lucy.",https://www.forbes.com/profile/howard-schultz/
212,Scott Shleifer,$5 ,$5 ,44,New York,private equity,2,"Scott Shleifer cofounded Tiger Global Management's private equity investing arm in 2003, two years after Chase Coleman founded the hedge fund firm.
Tiger Global's venture funds make up $40 billion of the firm's $65 billion in net assets under management.
Shleifer made lucrative bets on several Chinese tech companies for Tiger, including JD.com, ride-hailing app Didi Chuxing and e-commerce giant Meituan.
Shleifer worked for three years as an analyst at Blackstone after graduating from the University of Pennsylvania's Wharton School.
In February 2021, he bought a 21,000-square-foot Palm Beach mansion for $122.7 million.",https://www.forbes.com/profile/scott-shleifer/
212,Mark Shoen,$5 ,$5.50 ,70,Arizona,U-Haul,N/A,"Mark Shoen owns roughly one-fifth of U-Haul parent company Amerco mostly through a limited partnership called Willow Grove.
Shoen is also owner of one of the largest private self-storage operations in the U.S., which does business with U-Haul.
He sided with his brother Joe in a nasty family feud in which Joe wrested control of U-Haul away from their father.
He keeps a low profile but apparently remains on good terms with his brother Joe, who still runs the U-Haul business.",https://www.forbes.com/profile/mark-shoen/
212,Daniel Ziff,$5 ,$5 ,49,New York,investments,1,"Daniel Ziff and brothers Robert and Dirk inherited a fortune that dates back to 1927 when their grandfather cofounded publishing company Ziff Davis
Daniel's late father, William Jr., built up Ziff Davis, which became best known for such trade publications as PC Magazine and Car and Driver.
The publishing business was sold for $1.4 billion in 1994.
The brothers created the Ziff Brothers Investments and greatly expanded their inheritance with hedge funds in the U.S. and in London.
Ziff Brothers Investments ceased operations in 2014; the brothers are reportedly investing with employees formerly at their hedge funds.",https://www.forbes.com/profile/daniel-ziff/
212,Dirk Ziff,$5 ,$5 ,57,Florida,investments,1,"Dirk Ziff and his brothers Robert and Daniel inherited a fortune from their grandfather, who cofounded publishing company Ziff Davis in 1927.
The brothers' late father built up Ziff Davis, publisher of PC Magazine and Car and Driver, and sold the company for $1.4 billion in 1994.
Through their Ziff Brothers Investments, which had hedge funds in the U.S. and in London, the brothers greatly expanded their inheritance.
In 2015, Dirk Ziff formed his own family office, Ziff Capital Partners.
The brothers are also reportedly investing with employees formerly at their hedge funds.",https://www.forbes.com/profile/dirk-ziff/
212,Robert Ziff,$5 ,$5 ,55,New York,investments,1,"Like his brothers Dirk and Daniel, Robert Ziff, the middle billionaire child, owes his fortune to his grandfather's publishing company, Ziff Davis.
The brothers' late father, William Jr., built up Ziff Davis, published PC Magazine and Car and Driver, and sold the company for $1.4 billion in 1994.
The brothers created the Ziff Brothers Investments and increased those proceeds by tenfold with hedge funds in the U.S. and in London until 2014.
Though their offices ceased operations, they are also reportedly investing with investors who were formerly at their hedge funds.",https://www.forbes.com/profile/robert-ziff/
222,Robert Langer,$4.90 ,$2.90 ,73,Massachusetts,biotech,N/A,"Robert Langer is a scientist and professor at the Massachusetts Institute of Technology, where he leads the eponymous Langer Lab.
Langer was a founder of Cambridge, Mass.-based biotech firm Moderna; he owns a 3% stake in the company and has never sold a share.
He also owns shares in SQZ Biotechnologies, Seer and Sigilon Therapeutics, which were founded by him and postdoc students from his lab.
Langer is estimated to be the most cited engineer in history, with more than 350,000 citations and more than 1,500 articles published.
He also holds more than 1,400 patents and patent applications, which have been licensed more than 400 times to biotech and pharma companies.",https://www.forbes.com/profile/robert-langer/
222,"Robert Rich, Jr.",$4.90 ,$4.90 ,80,Florida,frozen foods,1,"Frozen food mogul Robert Rich, Jr. leads Rich Products, founded by his father, Robert Rich Sr. (d. 2006) in 1945.
The company made its mark with the first non-dairy whipped cream and expanded into non-dairy frozen foods.
Products include cakes, icings, pizza dough, meatballs and more.
Rich Jr. became the firm's president in 1978 and took over as chairman in 2006. The company has $3.6 billion in annual sales.
He owns an estimated 75% of the private company, which is based in Buffalo, New York.",https://www.forbes.com/profile/robert-rich-jr/
224,Bert Beveridge,$4.80 ,$5 ,59,Texas,vodka,N/A,"Bert ""Tito"" Beveridge is the founder of Tito's Vodka.
Tito's, one of the fastest growing spirits brands in America, sold an estimated 88 million bottles of vodka in 2018, up from 63 million in 2017.
Beveridge started the company in 1997 with $90,000 borrowed using 19 credit cards. He slept on floors and couches while he built the business.
The business got its first big break after winning the 2001 World Spirits Competition in San Francisco against 72 vodkas from around the world.
Tito's says it donates the net proceeds from its online store to nonprofits.",https://www.forbes.com/profile/bert-beveridge/
224,"Julian Robertson, Jr.",$4.80 ,$4.80 ,89,New York,hedge funds,5,"Superstar trader Julian Robertson helped pioneer the modern day hedge fund industry; he founded Tiger Management in 1980.
Since closing his fund in 2000, Robertson has managed his own book and seeded several funds started by his disciples, dubbed Tiger Cubs and Tiger Seeds.
Born and raised in North Carolina, Robertson served two years in the Navy after graduating from UNC Chapel Hill.
He owns several lodges, resorts and golf courses in New Zealand.
Robertson has given away $1.3 billion of his wealth to charitable causes including medical research, charter schools and environmental protection.",https://www.forbes.com/profile/julian-robertson-jr/
224,Jeff Rothschild,$4.80 ,$4.40 ,66,California,Facebook,1,"Jeff Rothschild made his fortune at Facebook, which he joined in 2005 as vice president of infrastructure engineering.
After five years as the VP, Rothschild took on an advisory role, and left Facebook in June 2015.
Before Facebook, Rothschild cofounded Veritas Software, which was sold to Symantec in 2004 for $13.5 billion in stock.
In March 2018, Rothschild joined the board of Pure Storage, a Mountain View, Calif.-based data storage company.",https://www.forbes.com/profile/jeff-rothschild/
224,Richard Schulze,$4.80 ,$5.20 ,80,Florida,Best Buy,2,"Richard Schulze worked as an electronics components manufacturer representative before opening his stereo equipment shop, Sound of Music, in 1966.
He grew it into the chain of superstores he renamed Best Buy.
He is chairman emeritus of Best Buy and its largest individual shareholder with an 11% stake.
Schulze served as the company's CEO from 1983 to 2002 and stepped down as chairman in 2012, when a scandal erupted around his hand-picked CEO.
Schulze aims to give away $1 billion of his fortune in his lifetime, through his family foundation.",https://www.forbes.com/profile/richard-schulze/
224,Mark Stevens,$4.80 ,$5.30 ,61,Colorado,venture capital,2,"Silicon Valley venture capitalist Mark Stevens was a partner at Sequoia Capital when the firm invested in hits like Google, PayPal and LinkedIn.
Now he is investing in startups through his firm S-Cubed Capital.
Stevens joined Sequoia in 1989 after stints at Intel and Hughes Aircraft, and spent some two decades at the venture capital firm.
He serves on the board of fabless semiconductor firm Nvidia and owns a minority stake in the Golden State Warriors NBA basketball team.
On June 5, 2019 Stevens pushed a player on the Toronto Raptors team during an NBA finals game and was banned from attending the rest of the finals.
The NBA then banned Stevens from attending games for a year and fined him $500,000 for pushing the Raptors' Kyle Lowry and using obscene language.",https://www.forbes.com/profile/mark-stevens/
229,Robert Brockman,$4.70 ,$4.70 ,80,Texas,software,2,"Brockman got his start at IBM selling mainframe computer services to auto dealers, then launched Universal Computer Services in 1970.
Brockman is the former chairman of Reynolds and Reynolds, which sells software and services to automotive dealerships.
In 2000 he committed $1 billion in seed capital for billionaire Robert F. Smith to launch private equity giant Vista Equity Partners.
The U.S. Dept. of Justice filed criminal charges in 2020, accusing Brockman of evading taxes on $2 billion in capital gains; he denies the charges.
An avid fisherman, Brockman owns a 209-foot yacht, the Albula, and enjoys jaunts to the Berry Islands near the Bahamas.",https://www.forbes.com/profile/robert-brockman/
229,"Austen Cargill, II.",$4.70 ,$4.90 ,70,Montana,Cargill,1,"Austen Cargill II is one of 12 billionaire heirs to Cargill, the family business where he served as a vice president until retiring in 2001.
His great-grandfather, W.W. Cargill, founded the business as a single grain warehouse on the end of an Iowa railroad line in 1865.
The family still owns roughly 90% of Cargill, which did $134.4 billion in 2021 sales across food, agriculture, financial and industrial divisions.
Before becoming a Cargill executive, Austen earned a Ph.D. and worked as a marine biologist for the company.",https://www.forbes.com/profile/austen-cargill-ii/
229,"James Cargill, II.",$4.70 ,$4.90 ,72,Wisconsin,Cargill,1,"James Cargill is one of 12 billionaire heirs to Cargill, America's second largest private company after Koch Industries.
His great-grandfather, W.W. Cargill, founded the business as a single grain warehouse on the end of an Iowa railroad line in 1865.
The family still owns roughly 90% of Cargill, which did $134.4 billion in 2021 sales across food, agriculture, financial and industrial divisions.
The Cargill-MacMillan family collects an estimated 18% of net profits as dividends every year.",https://www.forbes.com/profile/james-cargill-ii/
229,"Rupert Johnson, Jr.",$4.70 ,$5.10 ,81,California,money management,2,"Rupert Johnson Jr. is the vice chairman of Franklin Resources, a global investment management firm also called Franklin Templeton Investments.
He is the second largest shareholder in the firm with 19.2%, after his half brother Charles who chaired the company until 2013.
Their father, Rupert Sr., founded Franklin Distributors in 1947; the business grew and went public in 1983.
Rupert Jr. joined in 1965 and has been vice chairman since 1999. His nephew Gregory Johnson now serves as chairman and CEO.",https://www.forbes.com/profile/rupert-johnson-jr/
229,William Lauder,$4.70 ,$4.80 ,61,New York,Estee Lauder,N/A,"William Lauder is chairman of cosmetics giant Estée Lauder, a position he's held since 2009.
A member of the family's third generation, he was Estée Lauder's CEO from 2004 to 2009.
He's a grandson of Estée Lauder, who founded the cosmetics firm, and eldest son of Leonard Lauder, who was CEO and chairman for 17 years.
He lives in a Park Avenue co-op, and has homes in New York's Westchester County and in Aspen, Colorado.",https://www.forbes.com/profile/william-lauder/
229,Ted Lerner & family,$4.70 ,$4.90 ,95,Maryland,real estate,1,"In 1952, a 26-year-old Ted Lerner borrowed $250 from his wife to start a real estate company, selling homes for developers.
He sold 22,000, then decided to become a builder. Today his Lerner Enterprises is among the largest owners of real estate in the Washington, D.C area.
Since 2006 Lerner has owned the Washington Nationals baseball team. In June 2018, Ted passed control of the team to son Mark.
The family donates to charities including Children's National Hospital in DC, George Washington University and Hebrew University in Jerusalem.
During law school, Lerner sold real estate on weekends to help support his widowed mother and younger siblings.",https://www.forbes.com/profile/ted-lerner/
229,Marianne Liebmann,$4.70 ,$4.90 ,68,Montana,Cargill,1,"Marianne Liebmann is one of 12 billionaire heirs to Cargill, America's second largest private company after Koch Industries.
Her great-grandfather, W.W. Cargill, founded the business as a single grain warehouse on the end of an Iowa railroad line in 1865.
The family still owns roughly 90% of Cargill, which did $134.4 billion in 2021 sales across food, agriculture, financial and industrial divisions.
The Cargill-MacMillan family collects an estimated 18% of net profits as dividends every year.",https://www.forbes.com/profile/marianne-liebmann/
229,Igor Olenicoff,$4.70 ,$4.70 ,79,Florida,real estate,1,"Russian immigrant Igor Olenicoff fled the Soviet Union with his family at age 15, and eventually built up a substantial real estate empire.
His Olen Properties owns 8 million square feet of office space and 15,000 residential units in California and four other U.S. states.
Olenicoff's daughter and heir-apparent, Natalia Ostensen, runs the day-to-day operations.
In 2007, Olenicoff pleaded guilty to lying on his tax return about keeping $200 million in offshore accounts, and agreed to pay $52 million in back taxes and fraud penalties.",https://www.forbes.com/profile/igor-olenicoff/
229,Matthew Prince,$4.70 ,$7.50 ,46,Utah,cybersecurity,N/A,"Matthew Prince, CEO of Cloudflare, cofounded the web infrastructure and security company in 2009. It went public in September 2019.
Prince owns 13% of the company.
Pre-IPO, its investors included Google's venture firm CapitalG, Microsoft, Baidu and Qualcomm Ventures.
Cloudflare received criticism for protecting problematic websites, including 8chan and online chat forums for ISIS.
Before Cloudflare, Prince was a law professor and also cofounded Unspam Technologies, which helped block spam content for clients.",https://www.forbes.com/profile/matthew-prince/
229,Marc Rowan,$4.70 ,$5.30 ,59,New York,private equity,2,"Marc Rowan is the CEO and a cofounder of Apollo Global Management, one of the biggest U.S. private equity firms, with over $470 billion in assets.
Rowan met Apollo cofounders Leon Black and Joshua Harris while working at investment bank Drexel Burnham Lambert's M&A division.
The trio founded Apollo in 1990, after Drexel filed for bankruptcy following a cash shortage caused by turmoil in the junk bond market.
In March 2021, Rowan replaced Black as Apollo's CEO, after the latter stepped down due to his longtime relationship with sexual predator Jeffrey Epstein.
Rowan and his cofounders took Apollo Global public in 2011.",https://www.forbes.com/profile/marc-rowan/
229,Todd Wanek,$4.70 ,$4.50 ,57,Florida,furniture,1,"Todd Wanek is the CEO of Ashley Furniture, the largest home furniture manufacturer and retailer in America.
His dad, Ron Wanek, started the company in the 1970s with a loan from his father and money he got from selling his home.
After graduating from college, Wanek and his new wife Karen spent five years living in Asia, where he managed the company's factory in Taiwan.
In 1994, Wanek returned to the U.S., but continued to run international operations. He was promoted to chief operating officer in 1996.
Wanek has been CEO since 2002; his dad, also a billionaire, remains chairman of Ashley Furniture.",https://www.forbes.com/profile/todd-wanek/
240,Ron Baron,$4.60 ,$4.90 ,78,New York,money management,1,"Ron Baron is the CEO of Baron Funds, a money management firm he founded in 1982; it manages about $50 billion.
The buy-and-hold investor's $6 billion flagship fund, Baron Growth, has an annual turnover of just 3%.
Baron owns one of the biggest estates in the Hamptons, which he assembled from 2001 to 2009 at a total cost of $152 million. It's worth much more now.
The son of an engineer (dad) and purchasing agent (mom) for the federal government, Baron wanted to be a doctor but didn't get into medical school.
Baron became a securities analyst in 1970 and named his dog Big Mac after one of his first successful stock recommendations.",https://www.forbes.com/profile/ron-baron/
240,Daniel D'Aniello,$4.60 ,$5 ,75,Virginia,private equity,2,"Daniel D'Aniello is one of three billionaire founders of private equity firm Carlyle Group.
He stepped down as chairman in January 2018 and now serves as chairman emeritus of Carlyle, which has $260 billion in assets under management.
D'Aniello worked at Trans World Airlines, Pepsi and Marriott before joining William Conway Jr. and David Rubenstein to start Carlyle in 1987.
He attended Syracuse University on a scholarship, studying transportation economics, and later got his MBA at Harvard.
A Vietnam War veteran, D'Aniello contributed $20 million to Syracuse University's National Veterans Resource Center in 2018.
He is the chairman of the Virginia-based performing arts nonprofit Wolf Trap Foundation where First Lady Jill Biden is the honorary chair.",https://www.forbes.com/profile/daniel-daniello/
240,Jim Davis,$4.60 ,$4.80 ,61,Maryland,staffing & recruiting,2,"Jim Davis is cofounder of Allegis Group, the largest staffing firm in the U.S.
He founded Allegis (then called Aerotek) in 1983 with his cousin Steve Bisciotti, who is also a billionaire.
Allegis now has offices on four continents and boasts an annual revenue of $12.3 billion.
Through Redwood Capital, the cousins also invest in everything from retirement communities to propane distribution.",https://www.forbes.com/profile/jim-davis-1/
240,Jeffery Hildebrand,$4.60 ,$6 ,62,Texas,oil,2,"Jeffrey Hildebrand cofounded Hilcorp in 1990; he later bought out his partner for $500 million.
In 2020 Hilcorp finalized the $5.6 billion acquisition of BP's assets in Alaska.
He has built Hilcorp into America's biggest privately owned oil company (by production volumes).
In 2015, Hildebrand gave each of his 1,400 employees a $100,000 bonus after they doubled the size of his company in five years.",https://www.forbes.com/profile/jeffery-hildebrand/
240,Sami Mnaymneh,$4.60 ,$4.60 ,60,Florida,private equity,1,"Sami Mnaymneh is co-CEO of H.I.G. Capital, a private equity firm with $45 billion under management.
Mnaymneh cofounded H.I.G. in 1993 with Tony Tamer and the duo became known for being the masters of middle-market deals.
In addition to operations in Europe and Latin America, H.I.G. has a large credit business.
Prior to starting H.I.G., Mnaymneh was a managing director at Blackstone and a vice president of mergers and acquisitions at Morgan Stanley.",https://www.forbes.com/profile/sami-mnaymneh/
240,Jon Stryker,$4.60 ,$4.60 ,63,New York,medical equipment,4,"Jon Stryker's grandfather founded Stryker Corp., which sold $14.4 billion in medical equipment in 2020.
Stryker inherited a stake in the company but does not work there.
He is president and founder of the Arcus Foundation, which supports the advancement of LGBTQ human rights and the conservation of great apes.
In 2021, Jon and husband Slobodan Randjelović gave $15 million to the ACLU Foundation to focus on LGBTQ and HIV issues.
Stryker has given away $675 million in his lifetime. In June 2021 he gave $5.3 million to University of California, Berkeley's College of Environmental Design.",https://www.forbes.com/profile/jon-stryker/
240,Tony Tamer,$4.60 ,$4.60 ,63,New York,private equity,N/A,"Tony Tamer is the co-CEO of H.I.G. Capital, a private equity firm with $45 billion under management.
Tamer cofounded H.I.G. Capital in 1993 with Sami Mnaymneh; the duo have been masters of middle-market private equity deals.
In addition to operations in Europe and Latin America, H.I.G. also runs a large credit business.
Prior to founding H.I.G. Capital, Tamer was a partner at Bain & Company.",https://www.forbes.com/profile/tony-tamer/
247,David Bonderman,$4.50 ,$4.50 ,78,Texas,private equity,2,"David Bonderman is chairman and founding partner of private equity giant TPG, which managed about $80 billion in assets.
""Bondo"" met his longtime business partner Jim Coulter while working for billionaire Robert Bass. The pair left in 1992 to found TPG.
Their first big deal was a $66 million investment in faltering Continental Airlines, which ultimately made them a $640 million profit.
Together the two are still principal owners of TPG; Bonderman operates from Fort Worth and Coulter from San Francisco.
In 1995 he created the Bonderman Travel Fellowship at the U.of Wash., sponsoring fellows to travel to at least 6 countries for 8 months.
A supporter of conservation, he is a board member of The Wilderness Society.
Both Coulter and Bonderman sit on the founding board of the Rise Fund, TPG's impact investing fund.",https://www.forbes.com/profile/david-bonderman/
247,Mark Cuban,$4.50 ,$4.50 ,63,Texas,"online media, Dallas Mavericks",1,"Mark Cuban founded video portal Broadcast.com with fellow Indiana University alum Todd Wagner in 1995 and sold it to Yahoo for $5.7 billion in 1999.
Today he owns the NBA's Dallas Mavericks and has stakes in Magnolia Pictures, AXS TV and dozens of small startups.
He sold stamps door-to-door as a kid and gave disco lessons to help pay his way through Indiana University.
Cuban was inspired to strike out on his own when he was fired from a software shop for closing a $15,000 sale instead of cleaning up the store.
He invests in mission-driven companies such as Luminaid, which provides lighting to disaster areas, and Mahmee, a maternal healthcare tech company.",https://www.forbes.com/profile/mark-cuban/
247,Gary Friedman,$4.50 ,$4.30 ,64,California,Furniture retail,N/A,"Gary Friedman is the CEO and chairman of publicly traded high-end furniture retailer RH, which had $2.85 billion in revenue in 2020.
He's credited with turning around the company formerly known as Restoration Hardware, which was at the brink of bankruptcy when he joined in 2001.
The retail veteran started at Gap as a stock boy, eventually working his way up to managing 63 stores in southern California.
He then spent 13 years at Williams-Sonoma Inc., where he took Pottery Barn from a $50 million tableware business to a $1 billion plus furniture brand.
Friedman also helped conceptualize the West Elm brand and developed the Williams-Sonoma Grande Cuisine stores.",https://www.forbes.com/profile/gary-friedman/
247,Thomas Pritzker,$4.50 ,$5 ,71,Illinois,"hotels, investments",2,"Tom Pritzker, one of 11 billionaire heirs in the Pritzker clan, serves as the executive chairman of hotel giant Hyatt.
Hyatt Hotels dates back to 1957 when Tom's father, Jay Pritzker (d. 1999), purchased the first Hyatt House motel near Los Angeles International Airport.
Tom's father Jay and uncle Robert acquired manufacturing firm Marmon in the 1950s and expanded it; Tom led Marmon's 2008 sale to Berkshire Hathaway.
Pritzker stepped down from the board of Royal Caribbean Cruises in May 2020 after two decades as a director.
He founded the Pritzker Neuropsychiatric Disorders Research Consortium, a research effort into the genetic basis of psychiatric disorders.",https://www.forbes.com/profile/thomas-pritzker/
247,Trevor Rees-Jones,$4.50 ,$4.50 ,70,Texas,oil & gas,3,"Rees-Jones started as a bankruptcy attorney, but wanted to make deals, not clean up after them.
In 1984 he started Chief Oil & Gas and became a pioneer of the shale fracking boom.
A lucky guy, he grossed $7 billion on 7 deals in 7 years.
His new house on Dallas Country Club is appraised by the county at $26 million.",https://www.forbes.com/profile/trevor-rees-jones/
247,Barry Sternlicht,$4.50 ,$4.40 ,60,Florida,private equity,1,"Barry Sternlicht runs Starwood Capital Group, a private equity firm that specializes in real estate investments.
Starwood Capital has $95 billion of assets under management, making it one of the world's biggest real estate investors.
Sternlicht founded Starwood Capital in 1991 and later started the W hotel chain and Starwood Property Trust, one of the biggest mortgage REITs.
Sternlicht has sponsored five SPACs since 2020, including one that took senior care provider Cano Health public in June 2021.",https://www.forbes.com/profile/barry-sternlicht/
253,Dan Friedkin,$4.40 ,$4.60 ,56,Texas,Toyota dealerships,4,"Dan Friedkin owns Gulf States Toyota, which sold $9.4 billion worth of Toyotas in 2019.
The company, based in Houston, has exclusive rights to distribute Toyota vehicles in Texas, Arkansas, Louisiana, Mississippi and Oklahoma.
His father Thomas, who started the business in 1969, died in March 2017.
Friedkin is also an investor in luxury hospitality management firm Auberge Resorts, which has properties in Aspen and Cabo San Lucas.
His film production studio produced the 2017 movie ""All The Money In The World"" about the kidnapping of oil tycoon J. Paul Getty's grandson.
Friedkin directed his first film, ""Lyrebird,"" which premiered at the Telluride Film Festival in August 2019.",https://www.forbes.com/profile/dan-friedkin/
253,Rakesh Gangwal,$4.40 ,$4.70 ,68,Florida,airline,1,"Airline veteran Rakesh Gangwal made his fortune from InterGlobe Aviation, the parent outfit of budget airline IndiGo, India's largest by market share.
Gangwal started his airline career with United Airlines in 1984 and went on to run US Airways Group as its chief executive and chairman.
Gangwal cofounded IndiGo, headquartered outside Delhi, with pal Rahul Bhatia (also a billionaire) in 2006 with one aircraft.
The Miami resident owns close to 37% of the company and serves as a board member.
Gangwal and Bhatia had a bitter falling out in 2019 over corporate governance issues. Their dispute reached courts in London, Florida and Maryland.",https://www.forbes.com/profile/rakesh-gangwal/
253,Jeff T. Green,$4.40 ,$4.90 ,44,California,online advertising,1,"Jeff Green is CEO and chairman of The Trade Desk, an advertising tech firm he founded in 2009.
His digital ads company, which went public in 2016, specializes in social, mobile and video advertising.
The Trade Desk, a Nasdaq-listed company, had $836 million in revenue in 2020, up 26% year-over-year.
Prior to The Trade Desk, Green was founder and COO of AdECN, an online advertising exchange acquired by Microsoft in 2007 for an undisclosed sum.
The Trade Desk officially launched in China in March 2019.",https://www.forbes.com/profile/jeff-t-green/
253,Johnelle Hunt,$4.40 ,$4.70 ,89,Arkansas,trucking,2,"In 1961, Johnelle Hunt and her late husband J.B. (d. 2006) sold their home and took out loans to start a rice hull packaging operation.
Eight years later, the couple bought five trucks and seven trailers to launch J.B. Hunt Transport Services.
The Lowell, Arkansas, business went public in 1983 and is now one of the biggest transportation companies in the nation, with $9.64 billion in sales.
Hunt, who stepped down as corporate secretary in 2008, remains the firm's largest individual shareholder, with a 17% stake.
She donated $5 million to the J.B. and Johnelle Hunt Family Ozark Highlands Center, which opened in Springdale, Arkansas in December 2020.",https://www.forbes.com/profile/johnelle-hunt/
253,Marian Ilitch,$4.40 ,$4.40 ,88,Michigan,Little Caesars,2,"Marian Ilitch and her husband, Mike, who died in 2017, cofounded Little Caesars Pizza in 1959.
Mrs. I, as she's known, now owns the pizza chain, which hauls in more than $4 billion in annual systemwide sales.
She also owns the Detroit Red Wings and MotorCity Casino Hotel; Mike's Detroit Tigers are now in a family trust.
Ilitch is helping build a $1.4 billion sports and entertainment district in Detroit that includes a new headquarters with pizza-shaped windows.
In the early days, she had to prevent her husband from giving away free pizzas.",https://www.forbes.com/profile/marian-ilitch/
253,Aerin Lauder,$4.40 ,$4.50 ,51,New York,cosmetics,N/A,"Aerin Lauder, the eldest daughter of billionaire Ronald Lauder, serves as style and image director at cosmetics firm Estée Lauder.
Lauder has worked for Estée Lauder, founded by her grandmother, since 1992. She served as a board member from 2004 to 2016.
In 2012 she founded luxury lifestyle brand AERIN Beauty, which sells everything from lamps to handbags. The line is sold in 40 countries.
Her sister, Jane Lauder, is an executive vice president at Estée Lauder and sits on the board.
In August 2019, she launched a hotel amenity line featuring bath and body products.",https://www.forbes.com/profile/aerin-lauder/
253,John Sall,$4.40 ,$4.60 ,73,North Carolina,software,2,"John Sall cofounded statistical software firm SAS with James Goodnight in 1976.
The two partners met at North Carolina State, where Sall was studying graduate-level statistics and Goodnight was pursuing his Ph.D.
SAS saw $3.1 billion in revenue in 2019 and has more than 83,000 customers, including banks, government agencies and insurance companies.
SAS offers employees generous workplace perks, including an on-site health care center, pharmacy and daycare services.
Sall and his wife, Ginger, have given over $130 million to their Sall Family Foundation, which invests in the environment, public health and science.",https://www.forbes.com/profile/john-sall/
253,E. Joe Shoen,$4.40 ,$4.80 ,71,Arizona,U-Haul,N/A,"Joe Shoen is the president and chairman of U-Haul's $3.8 billion (sales) parent company Amerco, where he has a 21% stake.
His parents L.S. and Anna Mary Shoen cofounded the truck and trailer rental company back in 1945.
Worried that his father was wrecking the company, Joe led a coup in 1986, forcing his dad into retirement and alienating most of his 12 siblings.
Despite his problems working with his own dad, Joe's sons Stuart and Sam are both executives at Amerco.
Shoen is known for his frugality, insisting employees stay in cheap motels, two to a room.",https://www.forbes.com/profile/e-joe-shoen/
261,Rick Caruso,$4.30 ,$4.30 ,62,California,real estate,2,"Rick Caruso is a Los Angeles real estate developer who has built some of the country's most successful shopping centers.
Three of those centers--The Grove, The Americana and Palisades Village--rank among the 15 largest in the country in sales per square foot.
The grandson of Italian immigrants, Caruso opened a retail center in 1992 and has more recently expanded into residential, office and hospitality.
He has been pondering a mayoral run in Los Angeles for years.
In 2020, Caruso served on both White House and state-level task forces on how to safely reopen the economy after Covid-19.",https://www.forbes.com/profile/rick-caruso/
261,Daniel Och,$4.30 ,$4.20 ,60,Florida,hedge funds,3,"Dan Och founded Och-Ziff Capital Management, now a publicly traded hedge fund firm, in 1994.
Och stepped down as chairman in 2019 after years of client withdrawals and no longer has a role with the hedge fund.
The firm changed its name to Sculptor Capital Management in August 2019, further cutting its ties with its founder.
Och now runs his family office, Willoughby Capital, a growth equity investor with a portfolio that includes Robinhood, Coinbase and Instacart.
Och has given more than $400 million to his charitable foundation, according to available tax filings.
Och, a longtime New Yorker, switched his residency to Miami Beach, Florida in late 2019.",https://www.forbes.com/profile/daniel-och/
261,Robert Rowling,$4.30 ,$5.20 ,68,Texas,"hotels, investments",2,"In 1996 he reinvested $500 million from selling the family's oilfields into the purchase of Omni Hotels.
The Omni chain has 60 locations and 21,000 rooms nationwide with big new hotels in Dallas, Atlanta and Boston.
Rowling still owns Gold's Gym, with 700 locations worldwide. He had it up for sale in 2018.
He gave $25 million to the University of Texas business school in 2013.
In 2019 he completed the $170 million renovation of Omni Barton Creek Resort in Austin.",https://www.forbes.com/profile/robert-rowling/
261,David Rubenstein,$4.30 ,$4.60 ,72,Maryland,private equity,4,"David Rubenstein is one of three billionaire founders of private equity firm Carlyle Group, which has $260 billion in assets under management.
He cofounded Carlyle in 1987 with William Conway Jr. and Daniel D'Aniello. He now serves as non-executive co-chairman.
Rubenstein got his start as a Carter Administration official and later became an attorney.
In the early days Rubenstein raised the money and managed Carlyle's stable of advisers, which included George H.W. Bush.
He donated $18.5 million in 2016 to restore the Lincoln Memorial and expand exhibits and research there.",https://www.forbes.com/profile/david-rubenstein/
